epoch,lr_scheduler,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.0005,4,,,,,,
0,,4,,,0.30000001192092896,1.359474778175354,,
,0.0005,9,,,,,,
0,,9,,,0.2718749940395355,1.4338972568511963,,
,0.0005,14,,,,,,
0,,14,,,0.2750000059604645,1.389845609664917,,
,0.0005,19,,,,,,
0,,19,,,0.27656251192092896,1.4221482276916504,,
,0.0005,24,,,,,,
0,,24,,,0.2762500047683716,1.4174168109893799,,
,0.0005,29,,,,,,
0,,29,,,0.27395832538604736,1.368276596069336,,
,0.0005,34,,,,,,
0,,34,,,0.2678571343421936,1.4112473726272583,,
,0.0005,39,,,,,,
0,,39,,,0.27031248807907104,1.3649615049362183,,
,0.0005,44,,,,,,
0,,44,,,0.2715277671813965,1.3518229722976685,,
,0.0005,49,,,,,,
0,,49,,,0.2737500071525574,1.3597184419631958,,
,0.0005,54,,,,,,
0,,54,,,0.2755681872367859,1.3939560651779175,,
,0.0005,59,,,,,,
0,,59,,,0.2796874940395355,1.3653807640075684,,
,0.0005,64,,,,,,
0,,64,,,0.2802884578704834,1.389670729637146,,
,0.0005,69,,,,,,
0,,69,,,0.28035715222358704,1.3814747333526611,,
,0.0005,74,,,,,,
0,,74,,,0.28166666626930237,1.3587299585342407,,
,0.0005,79,,,,,,
0,,79,,,0.2835937440395355,1.3642600774765015,,
,0.0005,84,,,,,,
0,,84,,,0.28823530673980713,1.3334842920303345,,
,0.0005,89,,,,,,
0,,89,,,0.2888889014720917,1.3964924812316895,,
,0.0005,94,,,,,,
0,,94,,,0.29078948497772217,1.3614622354507446,,
,0.0005,99,,,,,,
0,,99,,,0.2931250035762787,1.3817166090011597,,
,0.0005,104,,,,,,
0,,104,,,0.29404762387275696,1.3692258596420288,,
,0.0005,109,,,,,,
0,,109,,,0.2965908944606781,1.3519097566604614,,
,0.0005,114,,,,,,
0,,114,,,0.301086962223053,1.3267344236373901,,
,0.0005,119,,,,,,
0,,119,,,0.30520832538604736,1.2460933923721313,,
,0.0005,124,,,,,,
0,,124,,,0.30924999713897705,1.3787107467651367,,
,0.0005,129,,,,,,
0,,129,,,0.3115384578704834,1.4302809238433838,,
,0.0005,134,,,,,,
0,,134,,,0.3162037134170532,1.2281008958816528,,
,0.0005,139,,,,,,
0,,139,,,0.31941965222358704,1.3438938856124878,,
,0.0005,144,,,,,,
0,,144,,,0.32333260774612427,1.2539761066436768,,
0,,144,,,,,0.4563322067260742,1.2136703729629517
,0.0005,149,,,,,,
1,,149,,,0.327352374792099,1.2430689334869385,,
,0.0005,154,,,,,,
1,,154,,,0.3305067718029022,1.220153570175171,,
,0.0005,159,,,,,,
1,,159,,,0.333659291267395,1.30820631980896,,
,0.0005,164,,,,,,
1,,164,,,0.3392755687236786,1.0976123809814453,,
,0.0005,169,,,,,,
1,,169,,,0.34161606431007385,1.2405389547348022,,
,0.0005,174,,,,,,
1,,174,,,0.34525299072265625,1.0778229236602783,,
,0.0005,179,,,,,,
1,,179,,,0.3500782251358032,1.2122068405151367,,
,0.0005,184,,,,,,
1,,184,,,0.3532893657684326,1.2466212511062622,,
,0.0005,189,,,,,,
1,,189,,,0.35698994994163513,1.1236871480941772,,
,0.0005,194,,,,,,
1,,194,,,0.3603401184082031,1.1750423908233643,,
,0.0005,199,,,,,,
1,,199,,,0.36367902159690857,0.9263095855712891,,
,0.0005,204,,,,,,
1,,204,,,0.36700746417045593,1.0938313007354736,,
,0.0005,209,,,,,,
1,,209,,,0.37211382389068604,1.0159589052200317,,
,0.0005,214,,,,,,
1,,214,,,0.37610942125320435,1.1318625211715698,,
,0.0005,219,,,,,,
1,,219,,,0.37907010316848755,1.3094329833984375,,
,0.0005,224,,,,,,
1,,224,,,0.38189905881881714,0.9271052479743958,,
,0.0005,229,,,,,,
1,,229,,,0.3833809196949005,1.146048903465271,,
,0.0005,234,,,,,,
1,,234,,,0.38626381754875183,1.220230221748352,,
,0.0005,239,,,,,,
1,,239,,,0.3879838287830353,1.299133062362671,,
,0.0005,244,,,,,,
1,,244,,,0.39078259468078613,1.0028929710388184,,
,0.0005,249,,,,,,
1,,249,,,0.39346927404403687,1.1967799663543701,,
,0.0005,254,,,,,,
1,,254,,,0.3945786952972412,1.3294456005096436,,
,0.0005,259,,,,,,
1,,259,,,0.39660772681236267,1.0336326360702515,,
,0.0005,264,,,,,,
1,,264,,,0.39950430393218994,1.0775272846221924,,
,0.0005,269,,,,,,
1,,269,,,0.40229353308677673,1.019110918045044,,
,0.0005,274,,,,,,
1,,274,,,0.40418514609336853,1.091733694076538,,
,0.0005,279,,,,,,
1,,279,,,0.40667933225631714,1.1867190599441528,,
,0.0005,284,,,,,,
1,,284,,,0.40864700078964233,1.0728460550308228,,
,0.0005,289,,,,,,
1,,289,,,0.4110727310180664,1.1258171796798706,,
1,,289,,,,,0.5031687617301941,1.0261539220809937
,0.0005,294,,,,,,
2,,294,,,0.41332483291625977,0.78938227891922,,
,0.0005,299,,,,,,
2,,299,,,0.4152931272983551,1.1452280282974243,,
,0.0005,304,,,,,,
2,,304,,,0.4165811538696289,1.179677128791809,,
,0.0005,309,,,,,,
2,,309,,,0.41903895139694214,1.0344053506851196,,
,0.0005,314,,,,,,
2,,314,,,0.42131930589675903,0.9420599341392517,,
,0.0005,319,,,,,,
2,,319,,,0.423430472612381,1.1813578605651855,,
,0.0005,324,,,,,,
2,,324,,,0.4252840280532837,0.9361841678619385,,
,0.0005,329,,,,,,
2,,329,,,0.4276503026485443,0.9641003012657166,,
,0.0005,334,,,,,,
2,,334,,,0.42966559529304504,1.094839334487915,,
,0.0005,339,,,,,,
2,,339,,,0.43152955174446106,1.2637747526168823,,
,0.0005,344,,,,,,
2,,344,,,0.4329766035079956,1.146496295928955,,
,0.0005,349,,,,,,
2,,349,,,0.43527624011039734,0.9020049571990967,,
,0.0005,354,,,,,,
2,,354,,,0.43583640456199646,1.2621451616287231,,
,0.0005,359,,,,,,
2,,359,,,0.4373370409011841,0.9953356981277466,,
,0.0005,364,,,,,,
2,,364,,,0.4389679431915283,1.0773385763168335,,
,0.0005,369,,,,,,
2,,369,,,0.44080838561058044,1.1918706893920898,,
,0.0005,374,,,,,,
2,,374,,,0.4425162672996521,1.0316429138183594,,
,0.0005,379,,,,,,
2,,379,,,0.4435204863548279,1.0199573040008545,,
,0.0005,384,,,,,,
2,,384,,,0.4451487064361572,1.009443759918213,,
,0.0005,389,,,,,,
2,,389,,,0.44737687706947327,0.8534467816352844,,
,0.0005,394,,,,,,
2,,394,,,0.44915252923965454,1.1257728338241577,,
,0.0005,399,,,,,,
2,,399,,,0.4505709409713745,0.8761760592460632,,
,0.0005,404,,,,,,
2,,404,,,0.45187702775001526,1.0519821643829346,,
,0.0005,409,,,,,,
2,,409,,,0.45399054884910583,1.0786452293395996,,
,0.0005,414,,,,,,
2,,414,,,0.4556761682033539,0.8967698216438293,,
,0.0005,419,,,,,,
2,,419,,,0.45784300565719604,0.8724722266197205,,
,0.0005,424,,,,,,
2,,424,,,0.45951715111732483,0.9976109266281128,,
,0.0005,429,,,,,,
2,,429,,,0.46122509241104126,0.8989216685295105,,
,0.0005,434,,,,,,
2,,434,,,0.4624073803424835,0.887977123260498,,
2,,434,,,,,0.5421266555786133,0.9524331092834473
,0.0005,439,,,,,,
3,,439,,,0.4636887311935425,1.3824772834777832,,
,0.0005,444,,,,,,
3,,444,,,0.4652225971221924,1.0458065271377563,,
,0.0005,449,,,,,,
3,,449,,,0.4666527509689331,1.0302159786224365,,
,0.0005,454,,,,,,
3,,454,,,0.4677763283252716,0.7749789953231812,,
,0.0005,459,,,,,,
3,,459,,,0.46969181299209595,0.8897501826286316,,
,0.0005,464,,,,,,
3,,464,,,0.47035467624664307,1.0400137901306152,,
,0.0005,469,,,,,,
3,,469,,,0.4722018837928772,1.0831334590911865,,
,0.0005,474,,,,,,
3,,474,,,0.4733513295650482,0.9961338639259338,,
,0.0005,479,,,,,,
3,,479,,,0.47408565878868103,0.5838540196418762,,
,0.0005,484,,,,,,
3,,484,,,0.4757726192474365,0.9553989171981812,,
,0.0005,489,,,,,,
3,,489,,,0.4769780933856964,0.8846310377120972,,
,0.0005,494,,,,,,
3,,494,,,0.47841203212738037,0.962831974029541,,
,0.0005,499,,,,,,
3,,499,,,0.47969210147857666,1.0201112031936646,,
,0.0005,504,,,,,,
3,,504,,,0.48107069730758667,0.8533063530921936,,
,0.0005,509,,,,,,
3,,509,,,0.48303577303886414,0.81749427318573,,
,0.0005,514,,,,,,
3,,514,,,0.4841727912425995,1.1239374876022339,,
,0.0005,519,,,,,,
3,,519,,,0.4846861958503723,1.2920714616775513,,
,0.0005,524,,,,,,
3,,524,,,0.48536860942840576,1.2989380359649658,,
,0.0005,529,,,,,,
3,,529,,,0.4862152338027954,1.0256925821304321,,
,0.0005,534,,,,,,
3,,534,,,0.48763084411621094,1.1333303451538086,,
,0.0005,539,,,,,,
3,,539,,,0.48838287591934204,0.9508109092712402,,
,0.0005,544,,,,,,
3,,544,,,0.48952293395996094,0.9196751117706299,,
,0.0005,549,,,,,,
3,,549,,,0.4902440309524536,1.2953088283538818,,
